MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude
"CB4.2C",396864,"BAY637","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",11/19/2014,11:36:00,27,,,9,"AP","ISM","M1","DO",,9.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396864,"BAY637","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",11/19/2014,11:36:00,27,,,26,"B ","ISM","M1","DO",,7.60000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396864,"BAY637","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",11/19/2014,11:36:00,27,,,17,"BP","ISM","M1","DO",,8.20000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396864,"BAY637","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",11/19/2014,11:36:00,27,,,1,"M ","ISM","M1","DO",,10.10000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396864,"BAY637","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",11/19/2014,11:36:00,27,,,2,"M ","ISM","M1","DO",,10.00000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396864,"BAY637","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",11/19/2014,11:36:00,27,,,3,"M ","ISM","M1","DO",,9.90000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396864,"BAY637","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",11/19/2014,11:36:00,27,,,5,"M ","ISM","M1","DO",,9.80000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396864,"BAY637","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",11/19/2014,11:36:00,27,,,7,"M ","ISM","M1","DO",,9.70000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396864,"BAY637","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",11/19/2014,11:36:00,27,,,11,"M ","ISM","M1","DO",,9.60000,"MG/L","F01 ",,,,,,38.64618,-76.42127
"CB4.2C",396864,"BAY637","TWQM","MAIN","MDDNR","MDDNR","CB4.2C",11/19/2014,11:36:00,27,,,13,"M ","ISM","M1","DO",,9.50000,"MG/L","F01 ",,,,,,38.64618,-76.42127
